白噪声数据(uy1) 
输出数据     输入数据
         0    1.1650
    1.1650    0.6268
    2.8443    0.0751
    3.6583    0.3516
    3.9572   -0.6965
    2.9259    1.6961
    3.1406    0.0591
    3.5233    1.7971
    4.9209    0.2641
    6.2100    0.8717
    6.6880   -1.4462
    4.4959   -0.7012
    0.6500    1.2460
   -1.2083   -0.6390
   -2.4804    0.5774
   -2.6635   -0.3600
   -2.5036   -0.1356
   -2.2396   -1.3493
   -2.9492   -1.2704
   -4.7657    0.9846
   -4.5625   -0.0449
   -2.9220   -0.7989
   -1.9998   -0.7652
   -2.2821    0.8617
   -1.4827   -0.0562
   -0.2854    0.5135
    1.1755    0.3967
    2.7807    0.7562
    4.4076    0.4005
    5.3485   -1.3414
    3.6152    0.3750
    1.4777    1.1252
    0.9299    0.7286
    1.7047   -2.3775
   -0.0044   -0.2738
   -2.4660   -0.3229
   -4.2096    0.3180
   -4.5329   -0.5112
   -4.0118   -0.0020
   -3.0132    1.6065
   -0.0047    0.8476
    3.8137    0.2681
    6.2448   -0.9235
    5.9609   -0.0705
    4.1916    0.1479
    2.1365   -0.5571
   -0.2380   -0.3367
   -2.3612    0.4152
   -3.1372    1.5578
   -1.3924   -2.4443
   -1.6480   -1.0982
   -3.8740    1.1226
   -4.2172    0.5817
   -2.4764   -0.2714
   -0.5841    0.4142
    1.2996   -0.9778
    1.4118   -1.0215
   -0.1406    0.3177
   -1.3904    1.5161
   -0.3057    0.7494
    1.9499   -0.5077
    3.2004    0.8853
    4.0648   -0.2481
    3.9579   -0.7262
    2.0775   -0.4450
   -0.2834   -0.6129
   -2.8852   -0.2091
   -4.6448    0.5621
   -4.5363   -1.0639
   -4.4251    0.3516
   -3.4771    1.1330
   -0.7974    0.1500
    1.9402    0.7031
    4.4230   -0.0524
    5.3955    2.0185
    7.0941    0.9242
    8.9058   -1.8141
    7.1719    0.0350
    3.5018   -1.8079
   -1.7516    1.0282
   -4.8790    0.3946
   -5.0364    0.6394
   -3.2508    0.8742
   -0.0623    1.7524
    4.4618   -0.3201
    7.4922   -0.1374
    7.9731    0.6158
    7.1554    0.9779
    6.3602   -1.1153
    3.8456   -0.5500
    0.2138    0.0399
   -2.5698   -2.4828
   -6.3290    1.1587
   -7.8125   -1.0263
   -7.5988    1.1535
   -5.3814   -0.7865
   -2.9965    0.6348
   -0.4712    0.8204
    2.5156   -0.1760
    4.2524    0.5625
