含噪声数据，n=2,噪声模型n=2,增广最小二乘,辅助变量(uy2)
   输出数据   输入数据
   -0.1124    1.1650
    0.9276    0.6268
    2.9096    0.0751
    4.0675    0.3516
    4.5702   -0.6965
    3.2812    1.6961
    3.1597    0.0591
    3.4651    1.7971
    4.4955    0.2641
    5.5143    0.8717
    6.2816   -1.4462
    4.5729   -0.7012
    0.7750    1.2460
   -0.9792   -0.6390
   -2.1933    0.5774
   -2.2157   -0.3600
   -1.7865   -0.1356
   -1.4901   -1.3493
   -2.2502   -1.2704
   -4.3039    0.9846
   -4.6247   -0.0449
   -3.6232   -0.7989
   -2.7919   -0.7652
   -2.9441    0.8617
   -1.8563   -0.0562
   -0.2720    0.5135
    1.3336    0.3967
    2.6772    0.7562
    3.9718    0.4005
    5.1187   -1.3414
    3.5573    0.3750
    1.5979    1.1252
    1.2551    0.7286
    2.1599   -2.3775
    0.1183   -0.2738
   -2.8050   -0.3229
   -4.4667    0.3180
   -4.7042   -0.5112
   -4.2310   -0.0020
   -3.3340    1.6065
   -0.6451    0.8476
    3.2527    0.2681
    6.0896   -0.9235
    5.8338   -0.0705
    4.0520    0.1479
    2.2209   -0.5571
   -0.1089   -0.3367
   -2.4078    0.4152
   -3.2756    1.5578
   -1.4497   -2.4443
   -1.6422   -1.0982
   -3.6520    1.1226
   -3.6172    0.5817
   -1.7229   -0.2714
   -0.3404    0.4142
    1.3443   -0.9778
    1.2888   -1.0215
   -0.4811    0.3177
   -1.8954    1.5161
   -0.5630    0.7494
    1.7782   -0.5077
    2.8762    0.8853
    3.6304   -0.2481
    3.9509   -0.7262
    2.1524   -0.4450
   -0.1385   -0.6129
   -2.6307   -0.2091
   -4.4074    0.5621
   -4.0666   -1.0639
   -3.9691    0.3516
   -3.2804    1.1330
   -0.6404    0.1500
    1.6929    0.7031
    4.0857   -0.0524
    5.2101    2.0185
    6.9914    0.9242
    8.5141   -1.8141
    6.5076    0.0350
    3.1685   -1.8079
   -1.5598    1.0282
   -4.5138    0.3946
   -4.6980    0.6394
   -3.0446    0.8742
    0.0442    1.7524
    4.3606   -0.3201
    6.8440   -0.1374
    6.9764    0.6158
    6.2175    0.9779
    5.7779   -1.1153
    3.7074   -0.5500
    0.5119    0.0399
   -2.2287   -2.4828
   -5.9649    1.1587
   -7.7059   -1.0263
   -7.7446    1.1535
   -5.5521   -0.7865
   -3.1512    0.6348
   -0.6681    0.8204
    2.2955   -0.1760
    4.1182    0.5625
